room_name;owner_name;region;location;room_size;is_electricity_included;price_before_discount_bs;all_facilities_bs;room_availability_bs;deposit_amount_bs;price;rating;rating_count;transaction_count;tipe_kos;discount_amount;url
Kost 0088 Tipe A Babakan Madang Bogor;Yan;Bogor;Babakan Madang;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Dapur; Dispenser; Balcon; CCTV; Taman; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";N/A;Rp100.000/3 hari;Rp950.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-campur-murah-kost-0088-tipe-a-babakan-madang-bogor-2?redirection_source=list%20kos%20result%20boundary
Kost 121 Cinere Depok;Agustin;Depok;Cinere;4 x 3 meter;Tidak termasuk listrik;N/A;"4 x 3 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Balcon; CCTV; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda";Kamar penuh;N/A;Rp1.100.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-depok-kost-putra-eksklusif-kost-121-cinere-depok-2?redirection_source=list%20kos%20result%20boundary
Kost 126 Pondok Aren Tangerang Selatan;Hanny;Tangerang Selatan;Kecamatan Pondok Aren;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Dispenser; Balcon; CCTV; Jemuran; Gazebo; Jual Makanan; Taman; Parkir Mobil; Parkir Motor";Tersisa1 kamar;N/A;Rp1.100.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putra-eksklusif-kost-126-pondok-aren-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost 20088 Babakan Madang Bogor;Yan;Bogor;Babakan Madang;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; R. Tamu; R. Jemur; R. Makan; R. Santai; Dispenser; CCTV; Jemuran; Pengurus Kos; Kartu Akses; Parkir Motor";Tersisa2 kamar;N/A;Rp700.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-campur-murah-kost-20088-babakan-madang-bogor-2?redirection_source=list%20kos%20result%20boundary
Kost 21 Alam Sutera Tipe A Serpong Utara Tangerang Selatan;Juliandy;Tangerang Selatan;Kecamatan Serpong Utara;2 x 3 meter;Termasuk listrik (implied);N/A;"2 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Cleaning service; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa2 kamar;Rp500.000;Rp1.500.000;1.0;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-campur-eksklusif-kost-21-alam-sutera-tipe-a-serpong-utara-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost 21 Alam Sutera Tipe B Serpong Utara Tangerang Selatan;Juliandy;Tangerang Selatan;Kecamatan Serpong Utara;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa2 kamar;Rp500.000;Rp2.200.000;4.8;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-campur-eksklusif-kost-21-alam-sutera-tipe-b-serpong-utara-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost 28 Pondoklabu Cinere Depok;Agustin;Depok;Cinere;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp1.350.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-28-pondoklabu-cinere-depok?redirection_source=list%20kos%20result%20boundary
Kost 2nd Home Tipe Executive Palmerah Jakarta Barat;Henry Tirtasaputra Junior;Jakarta Barat;Palmerah;4 x 3 meter;Tidak termasuk listrik;N/A;"4 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Penjaga Kos; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Balcon; CCTV; Parkir Motor; Parkir Motor & Sepeda";Tersisa1 kamar;Rp1.000.000;Rp3.100.000;5.0;Not found;Not found;Kos Campur;Diskon 256rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-2nd-home-tipe-executive-palmerah-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost 38 Lt3 Tanjung Priok Jakarta Utara;Hadi winata;Jakarta Utara;Tanjung Priok;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Pengurus Kos";N/A;Rp10.000/2 hari;Rp700.000;4.1;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-jakarta-utara-kost-putra-murah-kost-38-lt3-tanjung-priok-jakarta-utara-2?redirection_source=list%20kos%20result%20boundary
Kost 3tranches Home SCBD Tipe A Kebayoran Baru Jakarta Selatan;Threetranches Manajemen;Jakarta Selatan;Kebayoran Baru;3 x 5 meter;Tidak termasuk listrik;N/A;"3 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; TV Kabel; Bantal; Cermin; Guling; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Kulkas; R. Tamu; Laundry; R. Jemur; Dapur; Dispenser; CCTV; Pengurus Kos; Parkir Motor; Parkir Sepeda";N/A;Rp1.000.000;Rp3.500.000;4.0;(5);22 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-3tranches-home-scbd-tipe-a-kebayoran-baru-jakarta-selatan-1?redirection_source=list%20kos%20result%20boundary
